Seats,DemSeats,RepSeats
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0.0001
131,0,0.0001
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0.0001
138,0,0
139,0,0
140,0,0
141,0,0.0001
142,0,0.0001
143,0,0.0002
144,0,0
145,0,0
146,0,0.0002
147,0,0.0001
148,0,0.0001
149,0,0
150,0,0.0005
151,0,0.0001
152,0,0.0001
153,0,0.0001
154,0,0
155,0,0
156,0,0.0004
157,0.0001,0.0001
158,0,0.0003
159,0,0.0008
160,0,0.0005
161,0,0.0004
162,0,0.0006
163,0,0.0004
164,0,0.0006
165,0.0001,0.0007
166,0,0.0008
167,0,0.0007
168,0,0.0012
169,0.0001,0.0006
170,0.0001,0.0009
171,0,0.0011
172,0,0.0024
173,0.0002,0.0013
174,0,0.0015
175,0.0001,0.0018
176,0,0.0026
177,0.0001,0.0025
178,0.0002,0.002
179,0.0003,0.003
180,0.0002,0.0034
181,0.0002,0.0034
182,0.0004,0.0047
183,0.0002,0.0038
184,0.0005,0.004
185,0.0002,0.0055
186,0.0002,0.0054
187,0.0004,0.0089
188,0.0005,0.0065
189,0.0001,0.0078
190,0.0012,0.0115
191,0.0006,0.0114
192,0.0008,0.0125
193,0.0008,0.015
194,0.0012,0.0125
195,0.0013,0.0164
196,0.0009,0.0167
197,0.0021,0.0174
198,0.0021,0.0184
199,0.0026,0.0212
200,0.0025,0.0202
201,0.0029,0.0242
202,0.0029,0.0234
203,0.0036,0.0281
204,0.0039,0.0297
205,0.0043,0.0287
206,0.0051,0.0333
207,0.0076,0.0323
208,0.0091,0.0324
209,0.0099,0.0334
210,0.0093,0.0327
211,0.0131,0.0319
212,0.0172,0.0326
213,0.0193,0.034
214,0.0204,0.0337
215,0.0234,0.0287
216,0.0255,0.0305
217,0.0269,0.03
218,0.03,0.0269
219,0.0305,0.0255
220,0.0287,0.0234
221,0.0337,0.0204
222,0.034,0.0193
223,0.0326,0.0172
224,0.0319,0.0131
225,0.0327,0.0093
226,0.0334,0.0099
227,0.0324,0.0091
228,0.0323,0.0076
229,0.0333,0.0051
230,0.0287,0.0043
231,0.0297,0.0039
232,0.0281,0.0036
233,0.0234,0.0029
234,0.0242,0.0029
235,0.0202,0.0025
236,0.0212,0.0026
237,0.0184,0.0021
238,0.0174,0.0021
239,0.0167,0.0009
240,0.0164,0.0013
241,0.0125,0.0012
242,0.015,0.0008
243,0.0125,0.0008
244,0.0114,0.0006
245,0.0115,0.0012
246,0.0078,0.0001
247,0.0065,0.0005
248,0.0089,0.0004
249,0.0054,0.0002
250,0.0055,0.0002
251,0.004,0.0005
252,0.0038,0.0002
253,0.0047,0.0004
254,0.0034,0.0002
255,0.0034,0.0002
256,0.003,0.0003
257,0.002,0.0002
258,0.0025,0.0001
259,0.0026,0
260,0.0018,0.0001
261,0.0015,0
262,0.0013,0.0002
263,0.0024,0
264,0.0011,0
265,0.0009,0.0001
266,0.0006,0.0001
267,0.0012,0
268,0.0007,0
269,0.0008,0
270,0.0007,0.0001
271,0.0006,0
272,0.0004,0
273,0.0006,0
274,0.0004,0
275,0.0005,0
276,0.0008,0
277,0.0003,0
278,0.0001,0.0001
279,0.0004,0
280,0,0
281,0,0
282,0.0001,0
283,0.0001,0
284,0.0001,0
285,0.0005,0
286,0,0
287,0.0001,0
288,0.0001,0
289,0.0002,0
290,0,0
291,0,0
292,0.0002,0
293,0.0001,0
294,0.0001,0
295,0,0
296,0,0
297,0,0
298,0.0001,0
299,0,0
300,0,0
301,0,0
302,0,0
303,0,0
304,0.0001,0
305,0.0001,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
